State,Value,Timestamp,Datetime,Formatted Date
CHANDIGARH,202,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
HARYANA,7744,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
HIMACHAL,1610,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
J & K,2859,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
PUNJAB,7442,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
RAJASTHAN,14418,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
UTTARAKHAND,2228,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
UTTAR-PRADESH,18783,1739279249.1661386,2025-02-11 18:37:29.166139,2025-02-11 18:37:29
CHANDIGARH,204,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
HARYANA,7771,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
HIMACHAL,1630,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
J & K,2894,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
PUNJAB,7389,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
RAJASTHAN,14609,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
UTTARAKHAND,2247,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
UTTAR-PRADESH,18320,1739279711.4732063,2025-02-11 18:45:11.473206,2025-02-11 18:45:11
CHANDIGARH,206,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
HARYANA,7396,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
HIMACHAL,1651,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
J & K,2866,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
PUNJAB,6999,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
RAJASTHAN,14337,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
UTTARAKHAND,2405,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
UTTAR-PRADESH,18768,1739282469.7683594,2025-02-11 19:31:09.768359,2025-02-11 19:31:09
CHANDIGARH,202,1739283327.5646093,2025-02-11 19:45:27.564609,2025-02-11 19:45:27
HARYANA,7193,1739283327.5646093,2025-02-11 19:45:27.564609,2025-02-11 19:45:27
HIMACHAL,1589,1739283327.5646093,2025-02-11 19:45:27.564609,2025-02-11 19:45:27
